Name,Album,Artist,Release_date,Length,Popularity
Sick Thoughts,Sick Thoughts,Lewis Blissett,2019-05-14,200869,50
Mo Bamba,MUDBOY,Sheck Wes,2018-10-05,183906,78
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,2021-03-26,137875,3
Foot Fungus,STOKELEY,Ski Mask The Slump God,2018-11-30,129546,67
Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,2021-03-03,134013,0
Rasputin,Rasputin,Majestic,2021-02-26,186209,79
Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,2021-01-06,132780,74
Whoopty,Whoopty,CJ,2020-08-20,123262,69
Streets,Hot Pink,Doja Cat,2019-11-07,226986,83
Goosebumps - Remix,Goosebumps (Remix),Travis Scott,2021-01-15,162802,77
Paparazzi,Paparazzi,Kim Dracula,2020-12-11,192358,0
hot girl bummer,hot girl bummer,blackbear,2019-08-23,185093,4
Runnin Low,Runnin Low,Kieran Alleyne,2014-10-20,231273,49
Моя голова винтом (My head is spinning like a screw),Моя голова винтом (My head is spinning like a screw),kostromin,2021-02-02,140000,0
Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,2020-06-03,147638,68
Such a Whore (Instrumental),Such a Whore (Instrumental),JVLA,2020-06-20,125475,43
Minimum - Umut Dogan Remix,Minimum (Umut Dogan Remix),Ямаджи,2021-05-13,171438,40
Минимум - The Sumo Remix,Минимум (Remix Pack),Ямаджи,2020-11-20,130005,41
Superlife,Superlife,2Scratch,2018-12-10,314594,29
Invincible,Meet The Woo 2,Pop Smoke,2020-02-07,127546,77
How She Walk,How She Walk,TheGrimLynn,2015-02-17,194213,0
Arabian Night,Arabian Night,Żwirek,2018-08-05,257334,47
Monster,Monster,Besomorph,2019-08-30,132521,42
PHONKY TOWN,PHONKY TOWN,PlayaPhonk,2021-03-16,141373,0
Goodbye (feat. Lyse) - Slow Version,Goodbye (feat. Lyse) [Slow Version],Feder,2020-10-02,185173,56
Blood // Water,Blood // Water,grandson,2018-05-04,216720,73
Fed Up,ANTI-ICON,Ghostemane,2020-10-21,151625,71
Kill Yourself (Part III),My Liver Will Handle What My Heart Can't,$uicideboy$,2015-09-21,145078,78
Venom - Music From The Motion Picture,Venom (Music From The Motion Picture),Eminem,2018-09-21,269573,71
The Electro Suite,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],Various Artists,2014-04-11,756106,44
Standard,Standard,Linius,2019-03-05,217263,0
Look At Me!,Look At Me!,XXXTENTACION,2017-02-20,126345,80
Scary Garry,Scary Garry,Kaito Shoma,2021-01-04,99748,68
Nemesis,Nemesis,Ryllz,2018-11-05,160529,58
New Americana,New Americana,Mostus,2021-06-17,167292,0
Life Ain't Fair,Life Ain't Fair,B3Y0NDA110DD$,2021-05-12,107416,1
