Name,Album,Artist,Release_date,Length,Popularity
Calm Down,Non- Stop Pop,Various Artists,2023-01-26,239317,51
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncé,2024-02-11,233456,92
Until I Found You,Until I Found You (Piano Version),Stephen Sanchez,2022-03-11,177720,53
Bad Booty,Bad Booty,MIRA,2024-03-15,153947,58
Rush,Rush,Ayra Starr,2022-09-16,185093,73
"yes, and?","yes, and?",Ariana Grande,2024-01-12,214994,89
I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,2022-05-13,148485,89
Come With Me,Come With Me,MIRA,2023-06-15,168701,62
I'm Good (Blue),Silvester Party Hits 2022 / 2023,Various Artists,2022-11-25,175238,45
"Dance The Night (From ""Barbie The Album"")",Your Top Songs,Various Artists,2023-06-16,176579,45
golden hour,golden hour,JVKE,2022-07-15,209259,1
Shades of Blue,Shades of Blue,Féa,2023-11-03,189994,52
Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach,2023-10-20,155905,67
Woman,Planet Her,Doja Cat,2021-06-25,172626,85
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,2024-02-09,173336,79
Out of Space,Out of Space,Paul Damixie,2024-03-21,142200,54
Doctor (Work It Out) [feat. Miley Cyrus],Doctor (Work It Out) [feat. Miley Cyrus],Pharrell Williams,2024-03-01,182221,80
INDUSTRY BABY,MONTERO,Lil Nas X,2021-09-17,212352,40
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-04-09,208866,76
Dumb,Dumb,Paul Damixie,2024-02-29,168902,56
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,192840,81
Butter,Butter,BTS,2021-05-21,164441,0
Made You Look,Takin' It Back,Meghan Trainor,2022-10-21,134256,40
Hypnotised,Hypnotised,Paul Damixie,2024-01-04,139000,58
For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,2022-07-07,159123,73
Nonsense,A Nonsense Christmas,Sabrina Carpenter,2022-12-07,163648,35
Don't You Worry,Elevation,Black Eyed Peas,2022-11-10,194437,52
You Got Me Like,You Got Me Like,Paul Damixie,2023-11-30,152903,5
Sunroof,Sunroof,Nicky Youre,2021-11-26,163025,1
"24/7, 365","24/7, 365",elijah woods,2023-07-24,167000,78
My Universe,My Universe,Coldplay,2021-09-24,228000,78
I'm Done,I'm Done,Paul Damixie,2023-10-06,174193,15
The Motto,The Motto,Tiësto,2021-11-04,164818,78
Solo,Solo,BLANKA,2022-09-23,154710,61
Lil Boo Thang,Lil Boo Thang,Paul Russell,2023-08-18,114233,85
Drip,Drip,Paul Damixie,2023-06-23,169844,56
3D (feat. Jack Harlow),3D (feat. Jack Harlow),Jung Kook,2023-09-29,201812,81
UP,UP,INNA,2021-12-17,148944,38
Light Switch,Light Switch,Charlie Puth,2022-01-20,185680,8
Desire (with Sam Smith),Desire (with Sam Smith),Calvin Harris,2023-07-28,179161,82
Can't Get Enough,Can't Get Enough (feat. Latto),Jennifer Lopez,2024-01-26,186599,37
When I Get Old,When I Get Old,Christopher,2022-10-20,184732,57
Let Me Go,Let Me Go,Smiley,2024-01-09,183724,55
Rock My Body,Rock My Body,R3HAB,2023-04-28,137419,0
First Class,Chill Rap Vibes,Various Artists,2022-06-17,173947,0
this is what falling in love feels like,this is what falling in love feels like,JVKE,2021-09-03,120308,1
Secrets,Secrets,Paul Damixie,2023-04-25,160800,24
Kiss Me,Songs of Sonder,Dermot Kennedy,2022-09-02,229436,17
Rush,Got Me Started,Troye Sivan,2023-09-20,156391,3
Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),Camila Cabello,2022-03-04,206070,75
Wrinkle in Time,Wrinkle in Time,Smiley,2024-02-20,211862,56
Single Soon,Single Soon,Selena Gomez,2023-08-25,171655,80
Angel Baby,Angel Baby,Troye Sivan,2021-09-09,220779,75
About Damn Time,About Damn Time,Lizzo,2022-04-14,191822,74
Walking to the Moon,Walking to the Moon,Smiley,2023-12-14,175636,54
Do It Again,Do It Again,Ray Dalton,2023-03-17,175671,66
The Drum,The Drum,Alan Walker,2022-04-29,189287,62
Welcome To New York (Taylor's Version),1989 (Taylor's Version),Taylor Swift,2023-10-26,212600,77
Tomorrow,Tomorrow,Smiley,2023-11-16,172758,10
Late Night Talking,Late Night Talking,Harry Styles,2022-09-02,177954,0
Cara Mia,Cara Mia,BLANKA,2024-02-14,133064,62
Not My Fault (with Megan Thee Stallion),Not My Fault (with Megan Thee Stallion),Reneé Rapp,2023-12-15,170528,27
Days Of Summer - Toesup Remix,Days Of Summer (Toesup Remix),Smiley,2023-10-17,200571,18
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,138411,93
On My Love,On My Love,Zara Larsson,2023-09-15,222911,77
All 4 Nothing (I'm So In Love),All 4 Nothing (I'm So In Love),Lauv,2022-04-08,183014,61
Days Of Summer,Days Of Summer,Smiley,2023-09-07,178222,20
Bad Memories (feat. Elley Duhé & FAST BOY),Bad Memories (feat. Elley Duhé & FAST BOY),MEDUZA,2022-07-22,148629,76
Whistle (feat. Calum Scott),Whistle (feat. Calum Scott),Jax Jones,2023-02-10,181957,75
Someday,Human (Deluxe),OneRepublic,2021-08-27,187888,70
California Dreamin' - Radio Edit,California Dreamin' (Radio Edit),Glitter Dream,2024-03-15,127964,57
Run,Run,OneRepublic,2021-05-05,169010,71
Skate,Skate,Bruno Mars,2021-07-30,203122,0
Slow Low,Slow Low,Jason Derulo,2023-06-08,184364,58
Phoenix,Phoenix,Naomi Prie,2024-03-29,149250,47
Celestial,Celestial,Ed Sheeran,2022-09-29,209026,72
Green Green Grass,Green Green Grass,George Ezra,2022-04-22,167613,1
Spicy Margarita,Spicy Margarita,Jason Derulo,2024-01-25,154376,70
The Way You Lie,The Way You Lie,OMMIEH,2024-03-22,175200,48
Sweetest Pie,Sweetest Pie,Megan Thee Stallion,2022-03-11,201334,71
