Name,Album,Artist,Release_date,Length,Popularity
Heathens,Heathens,Twenty One Pilots,2016-06-16,195920,82
Attention,Voicenotes,Charlie Puth,2018-05-11,208786,82
There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,2017-04-20,199440,86
Believer,Evolve,Imagine Dragons,2017-06-23,204346,88
Galway Girl,÷ (Deluxe),Ed Sheeran,2017-03-03,170826,79
Faded,Different World,Alan Walker,2018-12-14,212106,80
Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit,2018-11-30,212733,77
Fight Song,Wildfire,Rachel Platten,2016-01-01,204013,77
Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit,2018-11-30,251173,78
Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,86
Something Just Like This,Memories...Do Not Open,The Chainsmokers,2017-04-07,247160,88
Treat You Better,Illuminate (Deluxe),Shawn Mendes,2017-04-20,187973,57
Thunder,Evolve,Imagine Dragons,2017-06-23,187146,87
Havana (feat. Young Thug),Camila,Camila Cabello,2018-01-12,217306,81
Let Me Love You,Encore,DJ Snake,2016-08-05,205946,84
Mama,Blue,Jonas Blue,2018-11-09,184133,72
Alone,Different World,Alan Walker,2018-12-14,160426,75
That's What I Like,24K Magic,Bruno Mars,2016-11-17,206693,87
In the Name of Love,In the Name of Love,Martin Garrix,2016-07-29,195706,80
Wolves,Wolves,Selena Gomez,2017-10-25,197993,78
Mercy,Illuminate (Deluxe),Shawn Mendes,2017-04-20,208733,81
How Long,Voicenotes,Charlie Puth,2018-05-11,200853,73
Paris,Memories...Do Not Open,The Chainsmokers,2017-04-07,221506,77
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,Calvin Harris,2017-06-30,223413,76
Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,87
24K Magic,24K Magic,Bruno Mars,2016-11-17,225983,80
Friends (with BloodPop®),Friends (with BloodPop®),Justin Bieber,2017-08-17,189466,69
Look What You Made Me Do,reputation,Taylor Swift,2017-11-10,211853,84
Sorry Not Sorry,Tell Me You Love Me (Deluxe),Demi Lovato,2017-09-29,203760,0
Starboy,Starboy,The Weeknd,2016-11-25,230453,91
Perfect Strangers,Blue,Jonas Blue,2018-11-09,196613,76
Issues,Nervous System,Julia Michaels,2017-07-28,176320,76
My Way,My Way,Calvin Harris,2016-09-16,219159,80
Ride,Blurryface,Twenty One Pilots,2015-05-15,214506,83
