Name,Album,Artist,Release_date,Length,Popularity
Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,2018-10-08,179080,76
Creep,Creep,ORYL,2021-09-24,132270,0
White Ferrari X I Know The End,White Ferrari X I Know The End,Erin LeCount,2023-11-23,213451,42
Six Feet Under,Six Feet Under,Billie Eilish,2016-11-17,189613,73
L.A.,ARC 003,Verskotzi,2021-11-05,100180,0
everest,everest,Public Library Commute,2024-02-01,109246,52
Secret Language,Secret Language,Tessa Rae,2023-12-20,199032,19
Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,89
Sofa,Sofa,Hannah Ascher,2023-06-23,201019,14
Something to Write About,Standing Still,Ethan Senger,2023-07-28,166026,24
Heather,Kid Krow,Conan Gray,2020-03-20,198040,87
Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,86
Loosing Interest,Passion & Confusion,Timmies,2017-09-21,117916,0
High - Slowed + Reverb,High,ORYL,2021-08-27,165957,0
It's You,YOU,Ali Gatie,2019-11-08,212606,77
Where Is My Mind?,Where Is My Mind?,ORYL,2022-02-25,138750,0
Better Now,Better Now,ORYL,2021-08-05,130645,34
Jocelyn Flores,17,XXXTENTACION,2017-08-25,119133,82
Everybody Dies In Their Nightmares,17,XXXTENTACION,2017-08-25,95466,82
How It Breaks,How It Breaks,Matt Bantle,2022-06-02,155664,4
Forest Walk,Forest Walk,PlantPup,2024-01-26,129229,30
No Coffee,Fuk,316,2023-12-31,240000,8
寒天,海海人生,青虫 aoi,2023-10-06,208636,27
Keep You Close,Keep You Close,ORYL,2021-11-26,133333,0
Heartbreak Anniversary,TAKE TIME,Giveon,2020-03-27,198370,81
idfc,deadroses,blackbear,2015-02-14,245172,71
Till Forever Falls Apart,Till Forever Falls Apart,Ashe,2021-03-02,222860,68
Someone Like You,21,Adele,2011-01-19,285040,0
Train Wreck,Back from the Edge,James Arthur,2016-10-28,208826,80
bad ones,TOO YOUNG TO BE SAD,Tate McRae,2021-03-26,183133,57
Arcade,Small Town Boy (Track By Track),Duncan Laurence,2020-11-12,185146,75
Tell Me Goodbye,Tell Me Goodbye,ORYL,2021-05-07,139519,0
r u ok,TOO YOUNG TO BE SAD,Tate McRae,2021-03-26,187386,59
Happier,÷ (Deluxe),Ed Sheeran,2017-03-03,207520,77
7 Years,Lukas Graham,Lukas Graham,2016-04-01,237300,83
slower,slower,Tate McRae,2021-03-03,187629,31
drivers license,drivers license,Olivia Rodrigo,2021-01-08,242013,25
Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,2020-10-16,149297,69
Half A Man,A Place We Knew,Dean Lewis,2019-03-22,179120,0
1-800-273-8255,Everybody,Logic,2017-05-05,250173,75
Let It Go,Chaos And The Calm,James Bay,2014-12-15,260532,70
Spinning,Spinning,Trinity Sander,2022-12-16,147348,4
lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,88
changes,?,XXXTENTACION,2018-03-16,121886,77
"i hate u, i love u (feat. olivia o'brien)",us,gnash,2016-03-25,251033,76
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,220492,81
Kiss You,Kiss You,Steph Devine,2021-06-25,250000,6
when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,196077,85
Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith,2019-02-15,187621,58
You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding,2021-03-19,199144,45
High,High,ORYL,2021-08-27,148571,0
Be Alright,A Place We Knew,Dean Lewis,2019-03-22,196493,77
Can We Kiss Forever?,Can We Kiss Forever?,Kina,2018-08-31,187931,73
If The World Was Ending,If The World Was Ending,JP Saxe,2019-10-17,208687,0
my future,my future,Billie Eilish,2020-07-30,208155,69
All I Want,All I Want,Aidan Doran,2024-02-17,241549,30
Nude,In Rainbows,Radiohead,2007-12-28,255386,0
At My Worst,The Prelude,Pink Sweat$,2020-07-17,170344,70
Fix You,X&Y,Coldplay,2005-06-07,295533,84
XO,i think you think too much of me,EDEN,2016-08-19,159512,62
Coaster,American Teen,Khalid,2017-04-27,199120,67
Not About Angels,Not About Angels,Birdy,2014-04-13,189475,70
Let Her Go,All The Little Lights,Passenger,2012-02-24,252733,0
Save Your Tears,After Hours,The Weeknd,2020-03-20,215626,87
Breathe Me,Colour The Small One,Sia,2004-01-01,272800,66
Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,205686,78
Let You Down,Perception,NF,2017-10-06,212120,1
Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,88
I Need You,I Need You,ORYL,2021-04-02,109774,0
Moonlight,YOU,Ali Gatie,2019-11-08,228853,61
You're Beautiful,Back to Bedlam,James Blunt,2005-08-08,209493,76
Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,2020-05-01,220487,79
Yellow,Parachutes,Coldplay,2000-07-10,266773,90
Feel,Escapology,Robbie Williams,2002,263866,74
you broke me first,you broke me first,Tate McRae,2020-04-17,169265,54
No Surprises,OK Computer,Radiohead,1997-05-28,229120,0
All of Me,Love In The Future (Expanded Edition),John Legend,2013-08-30,269560,86
you were good to me (bonus track),love is not dying,Jeremy Zucker,2020-04-17,219146,0
Lie,Perception,NF,2017-10-06,209213,75
this is how you fall in love,brent ii,Jeremy Zucker,2021-02-05,174586,72
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,85
better off,glisten,Jeremy Zucker,2018-05-04,193946,61
a fireplace,a fireplace,Photography,2022-12-08,87677,0
ATLAS,ATLAS,JOLENE,2022-07-28,244962,6
If You Want Love,Perception,NF,2017-10-06,199386,73
I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,223346,79
Skinny Love,Birdy,Birdy,2011-11-04,201080,73
What I Need,What I Need,ORYL,2021-03-05,172173,0
Can I Be Him,Back from the Edge,James Arthur,2016-10-28,246880,79
what did you expect,what did you expect,Brianna Bollinger,2022-04-08,179996,4
i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,291796,80
I'm Not Enough and I'm Sorry,I'm Not Enough and I'm Sorry,Teqkoi,2018-10-27,120000,0
Let Me Down Slowly,Narrated For You,Alec Benjamin,2018-11-16,169353,86
Waves,A Place We Knew,Dean Lewis,2019-03-22,240013,76
You Are The Reason,Only Human (Deluxe),Calum Scott,2018-03-09,204326,80
brooklyn boy,brent ii,Jeremy Zucker,2021-02-05,175253,44
One Day,One Day,Tate McRae,2017-12-24,202496,0
July,THE END OF EVERYTHING,Noah Cyrus,2020-05-15,156106,85
Let Go,Let Go,ORYL,2021-07-09,157440,0
All I Want,In A Perfect World (Expanded Edition),Kodaline,2013-06-17,305746,81
