Name,Album,Artist,Release_date,Length,Popularity
i like the way you kiss me,i like the way you kiss me,Artemas,2024-03-19,142514,97
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,251424,85
Gata Only,Gata Only,FloyyMenor,2024-02-02,222000,96
Beautiful Things,Fireworks & Rollerblades,Benson Boone,2024-04-05,180304,82
End of Beginning,DECIDE,Djo,2022-09-16,159245,99
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,228639,95
greedy,greedy,Tate McRae,2023-09-15,131872,96
Lose Control,I've Tried Everything But Therapy (Part 1),Teddy Swims,2023-09-15,210688,93
Like That,WE DON'T TRUST YOU,Future,2024-03-22,267706,96
TEXAS HOLD 'EM,COWBOY CARTER,Beyoncé,2024-03-29,233456,87
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd,2023-06-23,244684,92
Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,96
Magnetic,SUPER REAL ME,ILLIT,2024-03-25,160688,91
LUNA,FERXXOCALIPSIS,Feid,2023-12-01,196800,94
Stick Season,Stick Season,Noah Kahan,2022-10-14,182346,95
CARNIVAL,VULTURES 1,¥$,2024-02-09,264324,96
Espresso,Espresso,Sabrina Carpenter,2024-04-12,175459,75
Madonna,Madonna,Natanael Cano,2024-03-08,187087,92
Saturn,Saturn,SZA,2024-02-22,186191,93
"Natanael Cano: Bzrp Music Sessions, Vol. 59","Natanael Cano: Bzrp Music Sessions, Vol. 59",Bizarrap,2024-04-02,155888,84
La Diabla,La Diabla,Xavi,2023-11-30,172264,94
FE!N (feat. Playboi Carti),UTOPIA,Travis Scott,2023-07-28,191700,93
Corazón de Piedra,Corazón de Piedra,Xavi,2024-03-21,193568,90
LA FALDA,LVEU: VIVE LA TUYA...NO LA MIA,Myke Towers,2023-09-18,174229,92
Austin,What Happens Now?,Dasha,2024-02-16,171782,88
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,137773,94
Illusion,Illusion,Dua Lipa,2024-04-11,188143,75
I Wanna Be Yours,AM,Arctic Monkeys,2013-09-09,183956,93
Water,Water,Tyla,2023-07-28,200255,92
Unwritten,Unwritten,Natasha Bedingfield,2004-08-30,259333,92
We Still Don't Trust You,WE STILL DON'T TRUST YOU,Future,2024-04-12,252920,74
Type Shit,WE DON'T TRUST YOU,Future,2024-03-22,228266,91
Scared To Start,Scared To Start,Michael Marcagi,2024-01-12,159636,92
Houdini,Houdini,Dua Lipa,2023-11-09,185917,92
PERRO NEGRO,nadie sabe lo que va a pasar mañana,Bad Bunny,2023-10-13,162767,92
Training Season,Training Season,Dua Lipa,2024-02-15,209487,92
QLONA,MAÑANA SERÁ BONITO (BICHOTA SEASON),KAROL G,2023-08-10,172797,90
redrum,american dream,21 Savage,2024-01-12,270697,93
The Night We Met,Strange Trails,Lord Huron,2015-04-06,208211,90
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,2023-08-25,227195,92
Seven (feat. Latto) (Explicit Ver.),GOLDEN,Jung Kook,2023-11-03,183550,87
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,138411,93
Starboy,Starboy,The Weeknd,2016-11-25,230453,91
Pedro,Pedro,Jaxomy,2024-03-29,144846,77
Feather,emails i can’t send fwd:,Sabrina Carpenter,2023-03-17,185552,91
Evergreen,RMCM,Richy Mitch & The Coal Miners,2017-05-17,87000,89
LA PEOPLE II,LA PEOPLE II,Peso Pluma,2024-03-21,141064,88
As It Was,Harry's House,Harry Styles,2022-05-20,167303,91
Another Love,Long Way Down,Tom Odell,2013-06-17,244360,65
Belong Together,Belong Together,Mark Ambor,2024-02-16,148317,87
